user_id_1,user_id_2,country,region,city,cap,latitude,longitude
L-107529,L-76754,IT,Lombardia,Brescia,25129,45.4969452,10.2740428
L-349180,L-177452,IT,Lombardia,Milano,20158,45.5000316,9.1690428
L-966219,L-195601,IT,Lombardia,Milano,20125,45.4972764,9.203123
L-951735,L-479122,IT,Lombardia,Brescia,25129,45.4969452,10.2740428
L-164383,L-797520,IT,Lombardia,Milano,20136,45.4476447,9.1855974
L-976098,L-703265,IT,Lombardia,Milano,20125,45.4972764,9.203123
L-721468,L-723926,IT,Lombardia,Bergamo,24129,45.7022525,9.6323203
L-22460,L-740959,IT,Lombardia,Milano,20147,45.4560254,9.1257661
L-949314,L-153769,IT,Lombardia,Brescia,25129,45.4969452,10.2740428
L-751365,L-104751,IT,Lombardia,Brescia,25129,45.4969452,10.2740428
L-322825,L-515640,IT,Lombardia,Brescia,25129,45.4969452,10.2740428
L-791860,L-287609,IT,Lombardia,Brescia,25129,45.4969452,10.2740428
L-603213,L-658677,IT,Lombardia,Milano,20136,45.4476447,9.1855974
L-653010,L-670630,IT,Lombardia,Milano,20158,45.5000316,9.1690428
L-601455,L-697711,IT,Lombardia,Milano,20147,45.4560254,9.1257661
L-339433,L-118954,IT,Lombardia,Brescia,25129,45.4969452,10.2740428
L-454098,L-142364,IT,Lombardia,Milano,20147,45.4560254,9.1257661
L-477130,L-980159,IT,Lombardia,Milano,20147,45.4560254,9.1257661
L-680908,L-246549,IT,Lombardia,Milano,20147,45.4560254,9.1257661
