user_id_1,user_id_2,country,region,city,cap,latitude,longitude
S-434545,S-171774,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-801275,S-663888,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-82518,S-993448,IT,Sicilia,Messina,98146,38.1788095,15.4976181
S-760835,S-663523,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-954813,S-210075,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-810469,S-606490,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-133771,S-317327,IT,Sicilia,Messina,98157,38.2739241,15.5562304
S-348821,S-90059,IT,Sicilia,Messina,98157,38.2739241,15.5562304
S-222516,S-691796,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-80799,S-167890,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-17474,S-650536,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-340758,S-903354,IT,Sicilia,Messina,98168,38.2305534,15.5532993
S-506717,S-16618,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-722482,S-678203,IT,Sicilia,Palermo,90129,38.0972383,13.3327398
S-8874,S-333828,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-608608,S-891584,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-857101,S-90067,IT,Sicilia,Palermo,90129,38.0972383,13.3327398
S-586055,S-230825,IT,Sicilia,Messina,98124,38.1724824,15.5445064
S-268059,S-237056,IT,Sicilia,Messina,98124,38.1724824,15.5445064
S-593509,S-684884,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-152569,S-58518,IT,Sicilia,Messina,98168,38.2305534,15.5532993
S-217910,S-642377,IT,Sicilia,Messina,98146,38.1788095,15.4976181
S-577625,S-771202,IT,Sicilia,Catania,95123,37.5267674,15.0586639
S-731475,S-775912,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-881594,S-500163,IT,Sicilia,Palermo,90129,38.0972383,13.3327398
S-920770,S-743724,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-329523,S-722803,IT,Sicilia,Messina,98124,38.1724824,15.5445064
S-212227,S-799234,IT,Sicilia,Messina,98124,38.1724824,15.5445064
S-889658,S-679807,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-234702,S-940564,IT,Sicilia,Messina,98157,38.2739241,15.5562304
S-778436,S-374176,IT,Sicilia,Messina,98168,38.2305534,15.5532993
S-659120,S-509161,IT,Sicilia,Messina,98157,38.2739241,15.5562304
S-768424,S-613843,IT,Sicilia,Messina,98124,38.1724824,15.5445064
S-484616,S-702801,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-355176,S-866608,IT,Sicilia,Palermo,90129,38.0972383,13.3327398
S-37066,S-706054,IT,Sicilia,Messina,98157,38.2739241,15.5562304
S-499281,S-866896,IT,Sicilia,Catania,95123,37.5267674,15.0586639
