user_id_1,user_id_2,country,region,city,cap,latitude,longitude
S-23162,S-923403,IT,Sicilia,Messina,98168,38.2305534,15.5532993
S-904365,S-104341,IT,Sicilia,Palermo,90129,38.0972383,13.3327398
S-446728,S-426373,IT,Sicilia,Palermo,90129,38.0972383,13.3327398
S-440018,S-353540,IT,Sicilia,Catania,95123,37.5267674,15.0586639
S-430844,S-47479,IT,Sicilia,Messina,98124,38.1724824,15.5445064
S-337720,S-914466,IT,Sicilia,Messina,98146,38.1788095,15.4976181
S-227932,S-671196,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-496440,S-531424,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-119465,S-125901,IT,Sicilia,Messina,98168,38.2305534,15.5532993
S-694182,S-230126,IT,Sicilia,Catania,95123,37.5267674,15.0586639
S-407515,S-877472,IT,Sicilia,Palermo,90129,38.0972383,13.3327398
S-100311,S-494384,IT,Sicilia,Catania,95123,37.5267674,15.0586639
S-841960,S-89012,IT,Sicilia,Messina,98157,38.2739241,15.5562304
S-392017,S-407654,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-330508,S-614018,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
S-642550,S-865913,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-177299,S-514574,IT,Sicilia,Messina,98135,38.0918968,15.491758
S-796651,S-144489,IT,Sicilia,Catania,95123,37.5267674,15.0586639
S-415571,S-694251,IT,Sicilia,Messina,98124,38.1724824,15.5445064
