user_id_1,user_id_2,country,region,city,cap,latitude,longitude
106-35-5678,747-50-7098,IT,Sicilia,Messina,98157,38.2739241,15.5562304
307-94-3374,775-19-6224,IT,Sicilia,Palermo,90129,38.0972383,13.3327398
143-61-1695,413-90-6534,IT,Sicilia,Messina,98146,38.1788095,15.4976181
422-10-7202,707-26-3869,IT,Sicilia,Messina,98157,38.2739241,15.5562304
156-14-2599,539-52-2998,IT,Sicilia,Messina,98157,38.2739241,15.5562304
122-99-5945,328-17-5465,IT,Sicilia,Palermo,90129,38.0972383,13.3327398
504-62-0251,360-53-3407,IT,Sicilia,Messina,98124,38.1724824,15.5445064
665-22-3203,703-71-8977,IT,Sicilia,Palermo,90141,38.1278654,13.3486213
614-44-6576,689-37-4026,IT,Sicilia,Messina,98135,38.0918968,15.491758
223-64-2178,673-31-5637,IT,Sicilia,Messina,98124,38.1724824,15.5445064
